#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.228.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.232.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.236.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.240.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.244.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.248.0/22
RIPE NCC RPKI Root,AS6718,5.154.174.0/24,24,INVALID_ASN,AS41825,5.154.174.0/24
RIPE NCC RPKI Root,AS6718,5.154.186.0/23,23,INVALID_ASN,AS39712,5.154.186.0/24
RIPE NCC RPKI Root,AS6718,5.154.186.0/23,23,INVALID_ASN,AS60289,5.154.187.0/24
RIPE NCC RPKI Root,AS44498,5.226.48.0/21,21,INVALID_ASN,AS34636,5.226.48.0/21
APNIC RPKI Root,AS45102,8.208.0.0/12,12,INVALID_LENGTH,AS45102,8.208.0.0/19
APNIC RPKI Root,AS45102,8.208.0.0/12,12,INVALID_LENGTH,AS45102,8.208.32.0/19
ARIN,AS393960,23.139.0.0/24,,INVALID_ASN,AS20860,23.139.0.0/24
APNIC RPKI Root,AS58396,27.54.116.0/22,22,INVALID_LENGTH,AS58396,27.54.116.0/23
APNIC RPKI Root,AS58396,27.54.116.0/22,22,INVALID_LENGTH,AS58396,27.54.117.0/24
APNIC RPKI Root,AS58396,27.54.116.0/22,22,INVALID_LENGTH,AS58396,27.54.118.0/23
APNIC RPKI Root,AS58396,27.54.116.0/22,22,INVALID_LENGTH,AS58396,27.54.118.0/24
APNIC RPKI Root,AS58396,27.54.116.0/22,22,INVALID_LENGTH,AS58396,27.54.119.0/24
RIPE NCC RPKI Root,AS197820,31.24.224.0/21,21,INVALID_ASN,AS13213,31.24.224.0/21
RIPE NCC RPKI Root,AS197820,31.24.224.0/21,21,INVALID_ASN,AS36351,31.24.225.0/24
RIPE NCC RPKI Root,AS197820,31.24.224.0/21,21,INVALID_ASN,AS13213,31.24.227.0/24
RIPE NCC RPKI Root,AS27458,31.220.14.0/24,24,INVALID_ASN,AS8100,31.220.14.0/24
APNIC RPKI Root,AS8952,36.0.4.0/22,22,INVALID_ASN,AS15562,36.0.4.0/22
RIPE NCC RPKI Root,AS43281,37.77.168.0/21,24,INVALID_ASN,AS201711,37.77.175.0/24
RIPE NCC RPKI Root,AS57433,37.114.56.0/22,22,INVALID_ASN,AS44066,37.114.56.0/24
RIPE NCC RPKI Root,AS35393,37.140.200.0/21,21,INVALID_LENGTH,AS35393,37.140.200.0/23
RIPE NCC RPKI Root,AS35393,37.140.200.0/21,21,INVALID_LENGTH,AS35393,37.140.202.0/24
RIPE NCC RPKI Root,AS35393,37.140.200.0/21,21,INVALID_ASN,AS62192,37.140.203.0/24
RIPE NCC RPKI Root,AS35393,37.140.200.0/21,21,INVALID_ASN,AS62192,37.140.204.0/22
RIPE NCC RPKI Root,AS51793,37.143.162.0/24,24,INVALID_ASN,AS52023,37.143.162.0/24
RIPE NCC RPKI Root,AS51793,37.143.163.0/24,24,INVALID_ASN,AS52023,37.143.163.0/24
RIPE NCC RPKI Root,AS51793,37.143.164.0/24,24,INVALID_ASN,AS52023,37.143.164.0/24
RIPE NCC RPKI Root,AS51793,37.143.165.0/24,24,INVALID_ASN,AS52023,37.143.165.0/24
RIPE NCC RPKI Root,AS51793,37.143.166.0/24,24,INVALID_ASN,AS52023,37.143.166.0/24
RIPE NCC RPKI Root,AS51793,37.143.167.0/24,24,INVALID_ASN,AS52023,37.143.167.0/24
RIPE NCC RPKI Root,AS34714,37.143.170.0/24,24,INVALID_ASN,AS52023,37.143.170.0/24
RIPE NCC RPKI Root,AS34714,37.143.171.0/24,24,INVALID_ASN,AS57785,37.143.171.0/24
RIPE NCC RPKI Root,AS54103,37.156.247.0/24,24,INVALID_ASN,AS51088,37.156.247.0/24
RIPE NCC RPKI Root,AS42473,37.252.224.0/19,32,INVALID_ASN,AS47147,37.252.234.0/24
APNIC RPKI Root,AS9873,43.224.36.0/22,22,INVALID_LENGTH,AS9873,43.224.36.0/24
APNIC RPKI Root,AS9873,43.224.36.0/22,22,INVALID_LENGTH,AS9873,43.224.37.0/24
APNIC RPKI Root,AS9873,43.224.36.0/22,22,INVALID_LENGTH,AS9873,43.224.38.0/24
APNIC RPKI Root,AS9873,43.224.36.0/22,22,INVALID_LENGTH,AS9873,43.224.39.0/24
APNIC RPKI Root,AS132124,43.224.124.0/22,22,INVALID_ASN,AS9329,43.224.124.0/22
APNIC RPKI Root,AS58436,43.230.56.0/22,22,INVALID_ASN,AS203098,43.230.56.0/22
APNIC RPKI Root,AS132817,43.242.0.0/22,24,INVALID_ASN,AS203061,43.242.0.0/22
APNIC RPKI Root,AS131322,43.245.44.0/22,22,INVALID_LENGTH,AS131322,43.245.44.0/24
APNIC RPKI Root,AS131322,43.245.44.0/22,22,INVALID_LENGTH,AS131322,43.245.45.0/24
APNIC RPKI Root,AS131322,43.245.44.0/22,22,INVALID_LENGTH,AS131322,43.245.46.0/24
APNIC RPKI Root,AS131322,43.245.44.0/22,22,INVALID_LENGTH,AS131322,43.245.47.0/24
APNIC RPKI Root,AS56017,43.249.176.0/22,22,INVALID_LENGTH,AS56017,43.249.176.0/23
APNIC RPKI Root,AS56017,43.249.176.0/22,22,INVALID_LENGTH,AS56017,43.249.178.0/24
APNIC RPKI Root,AS56017,43.249.176.0/22,22,INVALID_LENGTH,AS56017,43.249.179.0/24
LACNIC RPKI Root,AS265665,45.4.84.0/22,22,INVALID_ASN,AS262234,45.4.84.0/24
LACNIC RPKI Root,AS265665,45.4.84.0/22,22,INVALID_ASN,AS262234,45.4.85.0/24
LACNIC RPKI Root,AS265665,45.4.84.0/22,22,INVALID_ASN,AS262234,45.4.86.0/24
LACNIC RPKI Root,AS265665,45.4.84.0/22,22,INVALID_ASN,AS262234,45.4.87.0/24
LACNIC RPKI Root,AS265691,45.5.68.0/22,22,INVALID_ASN,AS27843,45.5.68.0/22
LACNIC RPKI Root,AS265691,45.5.68.0/22,22,INVALID_ASN,AS27843,45.5.68.0/24
LACNIC RPKI Root,AS265691,45.5.68.0/22,22,INVALID_ASN,AS27843,45.5.69.0/24
LACNIC RPKI Root,AS265691,45.5.68.0/22,22,INVALID_ASN,AS27843,45.5.70.0/24
LACNIC RPKI Root,AS265691,45.5.68.0/22,22,INVALID_ASN,AS27843,45.5.71.0/24
LACNIC RPKI Root,AS264668,45.71.112.0/22,24,INVALID_ASN,AS27919,45.71.112.0/24
APNIC RPKI Root,AS20473,45.114.220.0/22,22,INVALID_ASN,AS132724,45.114.220.0/22
APNIC RPKI Root,AS55828,45.115.112.0/22,22,INVALID_LENGTH,AS55828,45.115.112.0/24
APNIC RPKI Root,AS55828,45.115.112.0/22,22,INVALID_LENGTH,AS55828,45.115.113.0/24
APNIC RPKI Root,AS55828,45.115.112.0/22,22,INVALID_LENGTH,AS55828,45.115.114.0/24
APNIC RPKI Root,AS55828,45.115.112.0/22,22,INVALID_LENGTH,AS55828,45.115.115.0/24
LACNIC RPKI Root,AS32034,45.225.152.0/23,23,INVALID_ASN,AS266712,45.225.152.0/24
LACNIC RPKI Root,AS32034,45.225.152.0/23,23,INVALID_ASN,AS265515,45.225.153.0/24
LACNIC RPKI Root,AS266737,45.231.184.0/22,22,INVALID_LENGTH,AS266737,45.231.184.0/23
LACNIC RPKI Root,AS266806,45.236.100.0/22,22,INVALID_LENGTH,AS266806,45.236.100.0/24
LACNIC RPKI Root,AS266806,45.236.100.0/22,22,INVALID_LENGTH,AS266806,45.236.101.0/24
LACNIC RPKI Root,AS266806,45.236.100.0/22,22,INVALID_LENGTH,AS266806,45.236.102.0/24
LACNIC RPKI Root,AS266806,45.236.100.0/22,22,INVALID_LENGTH,AS266806,45.236.103.0/24
